12:01:00 | INFO  | Database running normally
12:01:00 | INFO  | Database running normally
12:01:00 | INFO  | Database running normally
12:01:00 | INFO  | Database running normally
12:01:00 | WARN  | Database Warning: CPU usage slightly elevated
12:01:00 | INFO  | Database running normally
12:02:00 | INFO  | Database running normally
12:03:00 | INFO  | Database running normally
12:03:00 | INFO  | Database running normally
12:03:00 | INFO  | Database running normally
12:03:00 | INFO  | Database running normally
12:03:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | WARN  | Database Warning: CPU usage slightly elevated
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | WARN  | Database Warning: CPU usage slightly elevated
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:04:00 | INFO  | Database running normally
12:05:00 | INFO  | Database running normally
12:05:00 | ERROR | Database Error: Metric anomaly detected (value=201.00)
12:05:00 | INFO  | Database running normally
12:05:00 | INFO  | Database running normally
12:05:00 | INFO  | Database running normally
12:05:00 | INFO  | Database running normally
12:05:00 | ERROR | Database Error: Metric anomaly detected (value=166.00)
12:05:00 | INFO  | Database running normally
12:05:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | WARN  | Database Warning: CPU usage slightly elevated
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | WARN  | Database Warning: CPU usage slightly elevated
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | INFO  | Database running normally
12:06:00 | ERROR | Database Error: Metric anomaly detected (value=154.00)
12:06:00 | INFO  | Database running normally
